['Li', 'Be', 'O']
['Li', 'Be', 'S']
['Li', 'Be', 'Se']
['Li', 'Be', 'Te']
['Li', 'Na', 'O']
['Li', 'Na', 'S']
['Li', 'Na', 'Se']
['Li', 'Na', 'Te']
['Li', 'Mg', 'O']
['Li', 'Mg', 'S']
['Li', 'Mg', 'Se']
['Li', 'Mg', 'Te']
['Li', 'Al', 'O']
['Li', 'Al', 'S']
['Li', 'Al', 'Se']
['Li', 'Al', 'Te']
['Li', 'K', 'O']
['Li', 'K', 'S']
['Li', 'K', 'Se']
['Li', 'K', 'Te']
['Li', 'Ca', 'O']
['Li', 'Ca', 'S']
['Li', 'Ca', 'Se']
['Li', 'Ca', 'Te']
['Li', 'Sc', 'O']
['Li', 'Sc', 'S']
['Li', 'Sc', 'Se']
['Li', 'Sc', 'Te']
['Li', 'Ti', 'O']
['Li', 'Ti', 'S']
['Li', 'Ti', 'Se']
['Li', 'Ti', 'Te']
['Li', 'V', 'O']
['Li', 'V', 'S']
['Li', 'V', 'Se']
['Li', 'V', 'Te']
['Li', 'Cr', 'O']
['Li', 'Cr', 'S']
['Li', 'Cr', 'Se']
['Li', 'Cr', 'Te']
['Li', 'Mn', 'O']
['Li', 'Mn', 'S']
['Li', 'Mn', 'Se']
['Li', 'Mn', 'Te']
['Li', 'Fe', 'O']
['Li', 'Fe', 'S']
['Li', 'Fe', 'Se']
['Li', 'Fe', 'Te']
['Li', 'Co', 'O']
['Li', 'Co', 'S']
['Li', 'Co', 'Se']
['Li', 'Co', 'Te']
['Li', 'Ni', 'O']
['Li', 'Ni', 'S']
['Li', 'Ni', 'Se']
['Li', 'Ni', 'Te']
['Li', 'Cu', 'O']
['Li', 'Cu', 'S']
['Li', 'Cu', 'Se']
['Li', 'Cu', 'Te']
['Li', 'Zn', 'O']
['Li', 'Zn', 'S']
['Li', 'Zn', 'Se']
['Li', 'Zn', 'Te']
['Li', 'Ga', 'O']
['Li', 'Ga', 'S']
['Li', 'Ga', 'Se']
['Li', 'Ga', 'Te']
['Li', 'Rb', 'O']
['Li', 'Rb', 'S']
['Li', 'Rb', 'Se']
['Li', 'Rb', 'Te']
['Li', 'Sr', 'O']
['Li', 'Sr', 'S']
['Li', 'Sr', 'Se']
['Li', 'Sr', 'Te']
['Li', 'Y', 'O']
['Li', 'Y', 'S']
['Li', 'Y', 'Se']
['Li', 'Y', 'Te']
['Li', 'Zr', 'O']
['Li', 'Zr', 'S']
['Li', 'Zr', 'Se']
['Li', 'Zr', 'Te']
['Li', 'Nb', 'O']
['Li', 'Nb', 'S']
['Li', 'Nb', 'Se']
['Li', 'Nb', 'Te']
['Li', 'Mo', 'O']
['Li', 'Mo', 'S']
['Li', 'Mo', 'Se']
['Li', 'Mo', 'Te']
['Li', 'Ru', 'O']
['Li', 'Ru', 'S']
['Li', 'Ru', 'Se']
['Li', 'Ru', 'Te']
['Li', 'Rh', 'O']
['Li', 'Rh', 'S']
['Li', 'Rh', 'Se']
['Li', 'Rh', 'Te']
['Li', 'Pd', 'O']
['Li', 'Pd', 'S']
['Li', 'Pd', 'Se']
['Li', 'Pd', 'Te']
['Li', 'Ag', 'O']
['Li', 'Ag', 'S']
['Li', 'Ag', 'Se']
['Li', 'Ag', 'Te']
['Li', 'Cd', 'O']
['Li', 'Cd', 'S']
['Li', 'Cd', 'Se']
['Li', 'Cd', 'Te']
['Li', 'In', 'O']
['Li', 'In', 'S']
['Li', 'In', 'Se']
['Li', 'In', 'Te']
['Li', 'Sn', 'O']
['Li', 'Sn', 'S']
['Li', 'Sn', 'Se']
['Li', 'Sn', 'Te']
['Li', 'Cs', 'O']
['Li', 'Cs', 'S']
['Li', 'Cs', 'Se']
['Li', 'Cs', 'Te']
